id,feature_id,topic,granularity,value,penalty,effort,risk,priority_score,UserStoryText,acceptance_criteria
RT-S001,RT-F01,Movement,Story,13,13,5,2,19,"As an action player, I want to steer my hero with continuous WASD/stick input so that I feel every footstep across the parchment floor.","GIVEN I hold a movement key WHEN the hero has stamina to move THEN the hero accelerates smoothly in that direction AND leaves a wet-ink footfall trail AND diagonal input blends both axes without speed bonus."
RT-S002,RT-F01,Movement,Story,8,8,3,1,12,"As a player, I want my hero to cell-snap when crossing a room threshold so that room-to-room transitions feel committed and clean.","GIVEN I walk into a door tile WHEN the hero crosses the threshold THEN the camera pans to the next room AND the hero's position snaps to the entry cell AND the doorway seals behind with an ink-blot animation."
RT-S003,RT-F01,Movement,Story,8,5,2,1,10,"As a player, I want diagonal movement to feel as good as cardinal movement so that I can hug corners in a fight.","GIVEN I hold two movement keys simultaneously WHEN the hero moves THEN the sprite faces the true 8-directional vector AND animation blends cleanly AND no pixel-stutter occurs at tile edges."
RT-S004,RT-F02,Room Navigation,Story,13,13,5,2,19,"As an explorer, I want doors to open when I approach them so that moving between rooms is fluid.","GIVEN I face a door and am within 1 tile WHEN I press interact OR step into it THEN the door unfurls like a fold in parchment AND the next room loads AND room entry plays a thunk SFX."
RT-S005,RT-F02,Room Navigation,Story,13,13,3,2,21,"As a player, I want doors to seal behind me after I pass through so that the no-revisit rule is tangible.","GIVEN I leave a room WHEN the hero enters a new room THEN the exited door darkens/ink-blots shut AND attempting to reverse into it shows the reachability warning cursor AND the prior room is marked visited on the map."
RT-S006,RT-F02,Room Navigation,Story,8,8,2,1,13,"As a player, I want to see which walls contain doors so that I can read a room at a glance.","GIVEN a room is on screen WHEN it renders THEN every door wall shows a visibly-inked archway AND closed walls show flat ink hatching AND the contrast is colorblind-safe."
RT-S007,RT-F03,Combat Core,Story,13,13,13,3,10,"As a parry-combat player, I want to hold the Parry key to roll my defence dice and cancel a monster swing so that combat rewards timing.","GIVEN a monster is in a wind-up telegraph WHEN I press Parry inside the 220ms window THEN my defence dice clatter into the Dice Tray AND each rolled 6 cancels one hit AND a successful parry staggers the monster for 0.5s opening a kill window."
RT-S008,RT-F03,Combat Core,Story,13,13,8,3,15,"As a player, I want to attack the monster in the post-parry opening so that I can convert a parry into a kill.","GIVEN a monster is staggered by a parry WHEN I press Attack inside 600ms THEN my attack dice roll AND at least one 6 kills the 1-HP target AND a hit-stop flashes the screen for 80ms."
RT-S009,RT-F03,Combat Core,Story,13,13,5,2,19,"As a player, I want a dodge roll that negates a telegraph so that I have an escape hatch when I misread a tell.","GIVEN I have at least 2 stamina WHEN I press Dodge during a telegraph THEN the hero i-frames through the attack AND stamina is spent AND no attack window is opened."
RT-S010,RT-F03,Combat Core,Story,13,13,5,2,19,"As a dice fan, I want a permanent Dice Tray side panel showing my current attack and defence d6s so that I can trust the math the game does on my behalf.","GIVEN I am in a room WHEN I look at the HUD THEN a tray on the right shows N attack dice and M defence dice matching my gear AND during combat the dice physically tumble and the 6s light up AND the tray never occludes the hero."
RT-S011,RT-F03,Combat Core,Story,13,8,3,1,17,"As a player, I want clear damage feedback when the monster's unblocked hit lands on me so that I know I took damage.","GIVEN a monster attack lands an unblocked hit WHEN the hit connects THEN a heart pip drains with an ink-splash AND the hero flashes red for 120ms AND a crunch SFX plays AND the camera kicks 2px toward the hit."
RT-S012,RT-F04,Enemy Feel,Story,13,13,8,3,15,"As a mastery player, I want each enemy type to have a distinct wind-up tell so that I can learn to read them.","GIVEN I encounter an enemy type WHEN it begins a wind-up THEN its animation, SFX cue, and ink-flash color are unique to its type AND repeated encounters of the same type reuse the same tell exactly."
RT-S013,RT-F04,Enemy Feel,Story,8,5,2,1,10,"As a player, I want a satisfying hit-stop and death animation on monster kills so that the 1-HP lethality feels earned.","GIVEN a monster reaches 0 HP WHEN it dies THEN the screen freezes for 80–120ms AND the monster dissolves into ink particles AND a kill SFX plays AND any loot bursts from the corpse."
RT-S014,RT-F04,Enemy Feel,Story,8,8,5,2,9,"As a player, I want at least 8 visually distinct monster types across the dungeon rows so that runs stay visually fresh.","GIVEN I play through all 9 rows of a run WHEN I encounter monsters THEN I see at least 8 distinct silhouettes with distinct idle, telegraph, and death animations AND each maps to a row-appropriate AD/DD source stat."
RT-S015,RT-F05,Boss Fight,Story,13,13,13,5,8,"As a boss-fight enthusiast, I want Dracular to have 9 telegraphed phases I can learn so that beating him feels like mastery, not luck.","GIVEN I enter the End room WHEN Dracular appears THEN 9 loaded dice orbit him AND each phase is one parryable wind-up AND banking a phase removes one die from the ring AND the fight lasts ~90s on a clean run."
RT-S016,RT-F05,Boss Fight,Story,13,8,5,2,14,"As a player, I want Dracular's Hunger phase (phase 4) to heal me on a clean parry so that the fight has a mid-point comeback moment.","GIVEN I reach Dracular's Hunger phase WHEN I parry it cleanly THEN 2 heart pips restore with a glowing heal VFX AND missing the parry instead drains 2 pips with a hunger-drain SFX."
RT-S017,RT-F05,Boss Fight,Story,13,13,8,3,15,"As a player, I want Dracular to have a distinct Unbound Rage final phase so that beating him gives a memorable victory moment.","GIVEN all 9 of Dracular's dice are banked WHEN the final phase starts THEN his defence ring re-rolls continuously AND I must land one Attack during a window where fewer than 6 defence dice are spinning AND on success he collapses into a pile of d6 from which the VICTORY banner rises."
RT-S018,RT-F05,Boss Fight,Story,13,8,3,1,17,"As a player, I want Dracular's signature moves (Bite, Drain, Swarm) to be clearly identifiable so that each phase feels like a beat of a song.","GIVEN Dracular is in any of his 9 phases WHEN he begins a signature move THEN the move's name appears as an ink-scrawl label for 0.5s AND the wind-up color codes (red=bite, purple=drain, black=swarm) are reused consistently."
RT-S019,RT-F06,Treasure & Pickups,Story,8,5,2,1,10,"As a player, I want to auto-pick-up treasure and potions by walking over them so that loot feels snappy, not menu-y.","GIVEN a pickup is on a tile WHEN the hero walks within 0.5 tiles of it THEN the pickup magnets to the hero AND the counter bumps with a coin-clatter SFX AND a floating +1 number rises for 400ms."
RT-S020,RT-F06,Treasure & Pickups,Story,5,3,3,1,4,"As a player, I want a brief coin-shower particle burst when I open treasure so that the reward feels lavish.","GIVEN I enter a treasure room WHEN the room resolves THEN 8–12 gold-ink coins burst upward with physics AND settle into a small pile AND walking through the pile collects them all."
RT-S021,RT-F07,Shop Shrine,Story,13,13,5,2,19,"As a build-planner, I want Shop Shrine rooms to feel sacred so that the shop beat punctuates the run.","GIVEN I enter a Shop Shrine room WHEN the altar recognizes me THEN the world dims AND a candle-ring lights AND the altar rises presenting items as glowing runes AND walking away lets the shrine sink and the turn ends."
RT-S022,RT-F07,Shop Shrine,Story,13,8,3,2,16,"As a player, I want to browse shop items with full affordability info so that I can make a confident purchase.","GIVEN the Shop Shrine is open WHEN I hover an item THEN its cost, effect, and conflict rules are shown AND items I cannot afford are dim AND items that conflict with gear I own display a red ink-chain to the conflicting slot."
RT-S023,RT-F07,Shop Shrine,Story,8,8,2,1,13,"As a player, I want a confirmation step before a purchase commits so that I never misclick a buy.","GIVEN I click an affordable item WHEN the confirm popup appears THEN it shows the cost and effect once more AND clicking again (or holding for 0.3s) commits AND pressing Escape cancels."
