parameter,category,source_value,rt_value,units,notes
starting_health,player_stat,17,17,hearts,Preserved verbatim. 17 discrete heart pips HUD-top-left. Tuning range 14-20; break <10 or >22.
health_cap,player_stat,17,17,hearts,Preserved. Hard cap; potions cannot overfill. Same as source.
starting_attack_dice,player_stat,1,1,dice_in_tray,Preserved. Player starts with 1 d6 in the visible attack dice tray.
starting_defence_dice,player_stat,1,1,dice_in_tray,Preserved. Player starts with 1 d6 in the visible defence dice tray.
die_success_threshold,combat,6 of 1-6,6,d6_face,Preserved verbatim. Count-6s on d6 remains the sacred math. DO NOT TOUCH without full rebalance.
monster_hp_default,combat,1,1,hp,Preserved. One unblocked hit during an Opening window kills any normal monster.
dracular_hp,combat,1,1,hp,Preserved. Three Phase gates replace multi-HP. Each phase ends on 1 clean hit.
dracular_attack_dice,combat,9,9,dice_in_tray,Preserved. 9 d6 clatter visibly in the enemy dice tray per strike.
dracular_defence_dice,combat,9,9,dice_in_tray,Preserved. Renders as the crimson aura. Tuning range 7-11; break <5 or >13.
grid_width,dungeon,9,9,cells,Preserved. The 9-cell-wide floor plate is identical per-row.
grid_height,dungeon,10,10,cells,Preserved. 10 rows = 10 levels. Row transitions trigger monster table swaps.
total_normal_rooms,dungeon,90,90,cells,Preserved. Derived from 9 x 10 grid.
adjacency_type,dungeon,8-way king,8-way king,topology,Preserved. 8-way king adjacency remains the walkable graph.
revisit_allowed,dungeon,false,false,boolean,Preserved. Visited cells lock (floor collapses visibly) on commit.
min_path_length,dungeon,11,11,cells,Preserved (derived).
cell_traversal_ms,timing,n/a,400,ms_per_cell,NEW. Walk speed: 0.4s per cell. Hustle variant 250ms. Tuning 300-500; break <200 or >700.
cell_commit_window_ms,timing,n/a,120,ms,"NEW. First 30% of walk animation is cancelable; after that, the floor-collapse triggers."
player_move_speed_m_per_s,feel,n/a,4,m_per_s,"NEW. Derived from 1.6m cell / 0.4s traversal. Tuning 3-5; break <2 (frustrating) or >6 (dodge trivializes combat)."
monster_l1_max_attack_dice,monster,1,1,dice_in_tray,Preserved. Orc. Generous telegraph for tutorial learning.
monster_l2_max_attack_dice,monster,2,2,dice_in_tray,Preserved. Wolf. Movement-based threat.
monster_l3_max_attack_dice,monster,3,3,dice_in_tray,Preserved. Skeleton.
monster_l4_max_attack_dice,monster,4,4,dice_in_tray,Preserved. Evil Warrior. Parries the player.
monster_l5_max_attack_dice,monster,5,5,dice_in_tray,Preserved. Devil Bat.
monster_l6_max_attack_dice,monster,6,6,dice_in_tray,Preserved. Cyclops. Arena-control threat.
monster_l7_max_attack_dice,monster,7,7,dice_in_tray,Preserved. Dark Elf. Ranged poisoned darts.
monster_l8_max_attack_dice,monster,8,8,dice_in_tray,Preserved. Skeleton Lord. Summons adds.
monster_l9_max_attack_dice,monster,9,9,dice_in_tray,Preserved. Wizard. Pure ranged caster.
monster_l10_max_attack_dice,monster,10,10,dice_in_tray,"Preserved. Demon. Cap per-hit damage at 3 pips (FP-1). Tuning 8-11; break <6 or >13."
monster_progression_delta_per_level,monster,+1 AD,+1,dice_per_level,Preserved. Smooth learning slope.
monster_l1_monster_probability,monster,3/6 (50%),50,percent_of_rooms,Preserved (per-room stochastic roll is pre-seeded per run).
monster_l2_monster_probability,monster,2/6 (33%),33,percent_of_rooms,Preserved. L2 remains unusually safe.
monster_l3_monster_probability,monster,3/6 (50%),50,percent_of_rooms,Preserved.
monster_l4_monster_probability,monster,4/6 (67%),67,percent_of_rooms,Preserved.
monster_l5_monster_probability,monster,4/6 (67%),67,percent_of_rooms,Preserved.
monster_l6_monster_probability,monster,4/6 (67%),67,percent_of_rooms,Preserved.
monster_l7_monster_probability,monster,4/6 (67%),67,percent_of_rooms,Preserved.
monster_l8_monster_probability,monster,4/6 (67%),67,percent_of_rooms,Preserved.
monster_l9_monster_probability,monster,4/6 (67%),67,percent_of_rooms,Preserved.
monster_l10_monster_probability,monster,4/6 (67%),67,percent_of_rooms,Preserved.
treasure_probability_default,economy,1/6 (17%),17,percent_per_room,Preserved. Flat treasure faucet. Translates to ~1 treasure every 6 rooms = ~1 per 30s.
potion_probability_l1,economy,1/6 (17%),17,percent_per_room,Preserved. Early-game healing faucet.
potion_probability_l3,economy,1/6 (17%),17,percent_per_room,Preserved.
potion_probability_l6,economy,1/6 (17%),17,percent_per_room,Preserved.
potion_probability_l9,economy,1/6 (17%),17,percent_per_room,Preserved. Deep healing lifeline.
