id,feature_id,topic,granularity,value,penalty,effort,risk,priority_score,UserStoryText,acceptance_criteria
S001,F001;F002,Grid,Story,13,13,3,1,28,"As a player, I want to see the dungeon grid so that I can plan my exploration.","GIVEN a new run WHEN the game starts THEN a 9x10 grid with Start square below row 1 and End square above row 10 is displayed with all cells unvisited."
S002,F003;F004,Movement,Story,13,13,3,2,27,"As a player, I want to move into king-adjacent unvisited squares so that I can explore the dungeon.","GIVEN my current cell WHEN I hover AND the target is king-adjacent AND unvisited THEN the target is highlighted as legal; WHEN I click a legal target THEN my marker moves, the old cell is marked visited, and an ink line is drawn."
S003,F003,Movement,Story,8,13,2,1,22,"As a player, I want illegal squares to be unclickable so that I cannot accidentally break the rules.","GIVEN a target that is already visited OR not king-adjacent OR outside the grid WHEN I click it THEN no action occurs AND a brief tooltip explains why."
S004,F005;F006,Room Content,Story,13,13,3,2,27,"As a player, I want to roll for room content when I enter a new square so that the dungeon feels unpredictable.","GIVEN I move into a new cell WHEN content is pending THEN a d6 is rolled against the level table for that row AND the resolved content is revealed."
S005,F008,Room Content,Story,8,8,2,1,17,"As a player, I want empty, treasure, and potion rooms resolved automatically so that non-combat rooms don't slow me down.","GIVEN a room resolves to Empty/Treasure/Potion WHEN content is revealed THEN counters update and the turn advances to step 6."
S006,F009,Combat,Story,13,13,5,3,26,"As a player, I want to fight monsters in a dice duel so that combat feels tactile and risky.","GIVEN a monster room WHEN combat starts THEN each round runs: monster attack dice (count 6s as hits), my defence dice (count 6s as blocks), apply unblocked hits to HP, then my attack dice, then monster defence dice (Dracular only); the loop repeats until one side's HP reaches 0."
S007,F009,Combat,Story,8,13,3,3,23,"As a player, I want to see the result of each combat step so that I can trust the game's dice.","GIVEN a combat round WHEN dice are rolled THEN each die's face value is shown, 6s are highlighted, and the resulting hit/block tally is displayed."
S008,F007;F011,Potions,Story,13,8,2,1,20,"As a player, I want to convert potions into HP between rounds so that I can recover from damage.","GIVEN step 6 of the turn AND I have at least 1 potion AND HP < 17 WHEN I tap a potion THEN HP increases by 1 (capped at 17) and potion count decreases by 1."
S009,F012;F013,Shop,Story,13,8,5,2,22,"As a player, I want to spend treasure on items at the end of my turn so that I can become stronger.","GIVEN step 7 of the turn AND I have at least 1 treasure WHEN I open the shop THEN affordable items are enabled, unaffordable items are disabled, and purchasing an item deducts its cost and applies its effect immediately."
S010,F013,Shop,Story,8,13,2,2,18,"As a player, I want to be prevented from buying items that conflict with ones I already own so that the slot rules are clear.","GIVEN I own Item A that excludes Item B WHEN I view the shop THEN Item B is greyed out with tooltip 'Cannot be used with {A}'."
S011,F015,Shop,Story,8,5,2,1,13,"As a player, I want potions bought at the shop to be usable next turn so that the original rule is preserved.","GIVEN I buy a potion pack in step 7 WHEN the turn ends THEN the bought potions move from 'pending' to 'available' at the start of the next turn."
S012,F016,Blocking,Story,13,13,3,3,26,"As a player, I want to be warned before making a move that blocks me from reaching End so that I don't lose unfairly.","GIVEN a candidate move WHEN BFS reveals that the End square becomes unreachable after the move THEN the cell is shown with a warning icon AND clicking it opens a confirmation dialog."
S013,F017,Win/Loss,Story,13,13,2,2,22,"As a player, I want the game to clearly declare victory when I kill Dracular so that the outcome is unambiguous.","GIVEN I fight Dracular AND his HP reaches 0 AND my HP > 0 THEN a VICTORY screen displays with run stats."
S014,F017,Win/Loss,Story,13,13,2,2,22,"As a player, I want the game to declare defeat when I die or become blocked so that I understand why the run ended.","GIVEN my HP reaches 0 OR BFS shows End unreachable THEN a DEFEAT screen displays with the cause and run stats."
S015,F018,Turn Control,Story,13,13,5,3,26,"As a player, I want the game to enforce the 7-step turn order so that I can't accidentally skip a phase.","GIVEN the current turn phase WHEN I attempt an action belonging to another phase THEN the action is blocked with an explanatory prompt."
S016,F019,HUD,Story,8,8,2,1,17,"As a player, I want a persistent HUD showing my stats so that I always know my status.","GIVEN a run in progress THEN the HUD always shows HP/17, Attack Dice, Defence Dice, Treasure, Potions, and current equipment."
S017,F020,Menu,Story,5,5,1,1,10,"As a player, I want a start screen with Play and Tutorial options so that I can choose how to begin.","GIVEN the app launches WHEN the main menu renders THEN Play, Tutorial, Settings, and Credits buttons are visible and functional."
S018,F021,End Screen,Story,8,5,2,1,14,"As a player, I want a summary at the end of my run so that I can review my performance.","GIVEN a run ends in victory or defeat WHEN the end screen opens THEN rooms visited, monsters killed, treasure earned, and elapsed time are displayed."
S019,F022,Save,Story,8,8,3,2,17,"As a player, I want my run to auto-save so that I can resume after closing the browser.","GIVEN a run is in progress WHEN a turn completes THEN state is persisted to local storage AND loading the app resumes from the saved state."
S020,F023,Tutorial,Story,13,5,5,2,17,"As a new player, I want a guided tutorial so that I can learn the 7-step turn sequence without reading the rules.","GIVEN I select Tutorial WHEN the tutorial starts THEN a scripted micro-run runs with seeded dice, step-by-step narration, and completes with an option to start a real run."
S021,F024,Tooltips,Story,5,3,2,1,9,"As a player, I want first-time-event tooltips so that new mechanics are explained when they first appear.","GIVEN a one-shot event (first combat, first shop, first potion, first block warning) WHEN it fires THEN a single tooltip explains it AND does not repeat."
S022,F025,Help,Story,5,5,1,1,10,"As a player, I want a help screen with the rules reference so that I can re-read the rules anytime.","GIVEN any screen WHEN I tap Help THEN a scrollable page shows the turn order, monster table, item table, and win/lose conditions."
S023,F026;F027,RNG,Story,8,13,2,2,21,"As a developer, I want a seeded, injectable RNG so that combat and content rolls are deterministic and testable.","GIVEN a seed WHEN the game runs THEN all rolls are reproducible from that seed; WHEN a test injects a dice sequence THEN rolls consume from the sequence in order."
S024,F028,Bestiary,Story,5,2,2,1,7,"As a player, I want to browse monsters I've encountered so that I can learn the enemy roster.","GIVEN I've killed a monster type at least once WHEN I open the Bestiary THEN that monster's name, AD, and flavour text are shown."
S025,F029,Boss Entry,Story,8,8,1,1,16,"As a player, I want a confirmation dialog before entering the End square so that I don't enter the boss fight accidentally.","GIVEN I select the End square WHEN I commit the move THEN a dialog asks 'Enter End square and fight Dracular?' with Cancel/Enter buttons."
S026,F030,Undo,Story,5,3,2,1,9,"As a player, I want to undo my last move before the content roll so that I can correct a misclick.","GIVEN I just moved into a cell AND the d6 content roll has not yet happened WHEN I tap Undo THEN the move is reverted and the previous cell becomes current."
S027,F031;F037,Stats,Story,5,2,3,1,7,"As a player, I want a run history with per-run statistics so that I can track my improvement.","GIVEN any number of completed runs WHEN I open the history screen THEN a list shows outcome, turn count, treasure earned, and date for each run."
S028,F032,Audio,Story,5,3,3,1,8,"As a player, I want sound effects for moves, rolls, and combat so that the game feels alive.","GIVEN any gameplay action (move, roll, hit, block, purchase, potion, boss encounter) WHEN the action fires THEN an appropriate SFX plays AND settings can mute SFX."
S029,F034,Settings,Story,5,3,2,1,9,"As a player, I want settings for volume, text size, and colour-blind mode so that I can customize my experience.","GIVEN the Settings screen WHEN I change an option THEN the change applies immediately AND persists across sessions."
S030,F035,Daily Seed,Story,8,2,3,2,11,"As a player, I want a daily seed challenge so that I can compete with myself and others on the same dungeon.","GIVEN the Daily Seed button on the menu WHEN I tap it THEN a run starts using today's seed AND the seed is displayed for sharing."
S031,F036,Achievements,Story,5,2,3,1,7,"As a player, I want achievements for notable runs so that I have long-term goals.","GIVEN I complete a run matching an achievement condition (e.g. no potions used, HP never below 5) WHEN the run ends THEN the achievement unlocks AND a toast confirms it."
S032,F038,Difficulty,Story,8,3,3,2,12,"As a player, I want to choose a difficulty mode so that the challenge matches my skill.","GIVEN the start screen WHEN I select Easy/Normal/Hard/Nightmare THEN starting stats and/or boss stats adjust according to the difficulty config."
S033,F041,Accessibility,Story,8,5,3,2,14,"As a screen-reader user, I want every dice roll and combat step narrated so that I can play without sight.","GIVEN a screen reader is active WHEN a roll or combat step occurs THEN an ARIA live region announces the result in order."
S034,F042,Accessibility,Story,8,5,2,1,15,"As a keyboard-only player, I want full keyboard navigation so that I can play without a mouse.","GIVEN the grid is focused WHEN I press arrow keys (with shift for diagonals) THEN the cursor moves AND pressing Enter commits the move."
S035,F043,Accessibility,Story,5,3,1,1,9,"As a colour-blind player, I want an alternative palette so that Treasure/Potion/Monster cells are distinguishable.","GIVEN I enable colour-blind mode in settings WHEN any cell type is rendered THEN distinct patterns AND colours are used for each type."
S036,F040,PWA,Story,5,3,3,1,8,"As a player, I want to install the game as a PWA so that I can play offline on mobile.","GIVEN I visit the app on mobile WHEN I tap 'Add to Home Screen' THEN the app installs AND works offline after first load."
S037,F044,Art,Story,8,3,5,2,10,"As a player, I want a hand-drawn aesthetic so that the game feels like its paper origin.","GIVEN any screen WHEN it renders THEN grid lines, monsters, items, and UI chrome use a consistent sketch/ink style."
