feature_id,feature_name,category,priority,effort,description,dependencies
RT-F001,Fixed-Timestep Game Loop,core,must,M,"Deterministic fixed-timestep simulation (60 Hz) with decoupled variable-rate rendering; drives parry windows, dice physics, and enemy telegraphs with frame-independent precision",
RT-F002,2D Sprite Renderer,core,must,M,"Top-down 2D sprite renderer with z-ordering, alpha blending, parallax-free room camera, hand-drawn parchment shader",
RT-F003,Scene / State Machine,core,must,S,"Top-level state machine: Boot → MainMenu → Run → Pause → Results → Meta; clean transitions with fade-to-parchment",
RT-F004,Input System,core,must,M,"Unified input abstraction: mouse+keyboard, Xbox/PS gamepad, touch; action-based bindings exposed to remap UI",RT-F003
RT-F005,Save/Load System,core,must,M,"JSON save files: bestiary unlocks, settings, achievements, active-run snapshot for resume; atomic writes and schema-versioned migration",
RT-F006,Asset Pipeline,core,must,S,"Texture atlas packing, sprite sheet slicing, audio bank loading, hot-reload in dev builds",
RT-F007,Seeded RNG Service,core,must,S,"Deterministic PCG/xoshiro PRNG with named streams (dungeon/loot/combat); shareable seed string",
RT-F008,Config / Data Loader,core,must,S,"Data-driven tables for monsters, items, rooms, level tiers loaded from JSON/TOML",RT-F006
RT-F009,Debug Console,tools,should,S,"In-game debug console: spawn enemy, set seed, warp to boss, toggle godmode, inspect state",
RT-F010,Procedural Dungeon Graph,core,must,L,"9x10 room graph with king-adjacency routing, Start + End tagged, biome progression; produced from run seed",RT-F007;RT-F008
RT-F011,Reachability BFS Checker,core,must,S,"Live BFS from current cell to End across unvisited rooms; warning ping on commit that would strand the player",RT-F010
RT-F012,Room Content Pre-Seed,core,must,S,"Contents pre-rolled per run from level tables (monster/treasure/potion/shrine/empty); stored in graph for determinism",RT-F007;RT-F010
RT-F013,Room Transition / Door Seal,core,must,M,"Room-at-a-time camera; doors slam and seal behind player enforcing no-revisit; entry stinger audio",RT-F010
RT-F014,Cell-Snapped Movement,core,must,S,"In-room movement on a fine sub-grid; soft-snap to 8-dir cells for tactile board-game feel",RT-F004
RT-F015,Room Interior Layout,core,must,S,"Octagonal chamfered room template with obstacles, hazards, and pickup anchors generated per room type",RT-F010
RT-F016,Map Overlay (V Toggle),ui,must,M,"Hold V / middle-click to pull up full 9x10 dungeon map; shows visited, current, reachability shading, content icons for revealed rooms",RT-F010;RT-F011
RT-F017,Player Controller,combat,must,M,"Top-down character controller: walk, sprint, stop, face direction, idle sway; walk speed tuned to combat cadence",RT-F004;RT-F014
RT-F018,Player Animation Set,graphics,must,M,"Player sprite anims: idle, walk, run, hit, parry, dodge-roll, drink potion, death, pickup, open shop",RT-F017
RT-F019,Combat FSM,combat,must,L,"Per-encounter FSM: idle → draw-weapon → telegraph → parry-window → swing → recovery → cleanup; frame-accurate",RT-F001;RT-F017
RT-F020,Parry System,combat,must,M,"~150-250 ms parry window during monster wind-up; success triggers stun + Opening; failure eats hit; window scalable for accessibility",RT-F019
RT-F021,Dodge-Roll with I-Frames,combat,must,M,"Directional roll: ~300 ms i-frames, ~500 ms total; cooldown; does NOT trigger Opening",RT-F019
RT-F022,Block / Posture Meter,combat,should,M,"Hold-to-block stance that drains posture meter; consumes defence dice; breaks under sustained fire",RT-F019
RT-F023,Opening Window,combat,must,S,"Short ~400 ms vulnerability state on enemy after parry, dodged swing, or telegraph recovery; visual tell",RT-F019
RT-F024,Dice Tray Renderer,combat,must,M,"Lower-right HUD dice tray with 3D-ish physics dice tumble; colored per side (player attack/defence, monster attack/defence)",RT-F002
RT-F025,Dice Roll Animation,combat,must,S,"Tumble-settle animation ~0.5 s with audio clacks; 6s pulse gold",RT-F024
RT-F026,Count-6 Damage Resolver,combat,must,S,"On swing contact, roll attack dice, count 6s: 0 = Guard Spark, 1+ during Opening = kill, extras = cleave",RT-F020;RT-F024
RT-F027,Cleave System,combat,should,S,"Extra 6s propagate lethal hit to nearby enemies in a short arc; enables grouped-trash satisfaction",RT-F026
RT-F028,Defence Dice Roll,combat,must,S,"On monster hit, simultaneously roll player DD in side tray; each 6 cancels a hit",RT-F024
RT-F029,Heart Pip HUD,ui,must,S,"17 discrete heart pips top-left; shatter FX on loss; soft pulse at ≤5 remaining",RT-F002
RT-F030,Damage Calculation,combat,must,S,"Per-AD-tier pip cost table (1-3 AD→1 pip, 7-8→2 pip, 9-10→2+DoT, Dracular up to 3 pip); per-hit 3-pip cap",RT-F029
RT-F031,Pity Heart Safety,combat,should,S,"Once-per-encounter survival at 1 pip when a hit would overflow; cooldown of 3 monster rooms",RT-F030
RT-F032,Hit-Stop & Screen Shake,combat,must,S,"Kill-hit and taken-hit freeze/shake recipe from ConflictModel §9",RT-F019
RT-F033,Enemy AI Base FSM,ai,must,L,"Monster state machine: idle → aggro → telegraph → attack → guard → opening → recovery; data-driven per monster",RT-F019
RT-F034,Monster Telegraph System,ai,must,M,"Distinct pre-attack animations + audio tells; tell duration scalable (accessibility); visible warning markers",RT-F033
RT-F035,Monster Guard Cycle,ai,must,S,"Guard on/off states; hits during guard produce Guard Spark (no damage)",RT-F033
RT-F036,Monster Pack Variants,ai,should,S,"Level 1-3 trash can spawn as pair/triple occupancy; coordinated AI with stagger",RT-F033
RT-F037,Monster - Orc (AD1),content,must,S,"Slow club lunge, generous 800 ms tell; tutorial monster",RT-F033
RT-F038,Monster - Wolf (AD2),content,must,S,"Fast leap with 300 ms crouch tell; dodge-roll teaching",RT-F033
RT-F039,Monster - Skeleton (AD3),content,must,S,"Twitchy triple-swipe with rattle cue; reassembles once",RT-F033
RT-F040,Monster - Evil Warrior (AD4),content,must,S,"Mirror-fighter that parries player; lowers stance before thrust",RT-F033
RT-F041,Monster - Devil Bat (AD5),content,must,S,"Airborne figure-eights; vulnerable only at dive apex",RT-F033
RT-F042,Monster - Cyclops (AD6),content,must,S,"Massive club sweeps with 1.2 s tell; long arena hitboxes",RT-F033
